FFT Type, Size, FPU, UPB, Time [microseconds]
cuFFTDx,8,1,32,1.06394
MMA8,8,8,1,0.24064
MMA8,8,16,1,0.466944
MMA8,8,24,1,0.710656
MMA8,8,32,1,0.958464
MMA8,8,40,1,1.17453
MMA8,8,48,1,1.42848
MMA8,8,56,1,1.6681
MMA8,8,64,1,1.90362
MMA8,8,72,1,2.14835
MMA8,8,80,1,2.41152
MMA8,8,88,1,2.64192
MMA8,8,96,1,2.8969
MMA8,8,104,1,3.10989
MMA8,8,112,1,3.36179
MMA8,8,120,1,3.61779
MMA8,8,128,1,3.85638
MMA8,8,8,2,0.237568
MMA8,8,16,2,0.492544
MMA8,8,24,2,0.723968
MMA8,8,32,2,0.935936
MMA8,8,40,2,1.19194
MMA8,8,48,2,1.43462
MMA8,8,56,2,1.66195
MMA8,8,64,2,1.92614
MMA8,8,72,2,2.15757
MMA8,8,80,2,2.38694
MMA8,8,88,2,2.6409
MMA8,8,96,2,2.88051
MMA8,8,104,2,3.10886
MMA8,8,112,2,3.38944
MMA8,8,120,2,3.63008
MMA8,8,128,2,3.85638
MMA8,8,8,4,0.251904
MMA8,8,16,4,0.488448
MMA8,8,24,4,0.70656
MMA8,8,32,4,0.953344
MMA8,8,40,4,1.18784
MMA8,8,48,4,1.41312
MMA8,8,56,4,1.67014
MMA8,8,64,4,1.91898
MMA8,8,72,4,2.13504
MMA8,8,80,4,2.39002
MMA8,8,88,4,2.63066
MMA8,8,96,4,2.85389
MMA8,8,104,4,3.10886
MMA8,8,112,4,3.38944
MMA8,8,120,4,3.60243
MMA8,8,8,6,0.326656
MMA8,8,16,6,0.668672
MMA8,8,24,6,0.862208
MMA8,8,32,6,1.3527
MMA8,8,40,6,1.6937
MMA8,8,48,6,1.98758
MMA8,8,56,6,2.36237
MMA8,8,64,6,2.66547
MMA8,8,72,6,3.01568
MMA8,8,80,6,3.33517
MMA8,8,8,8,0.34816
MMA8,8,16,8,0.683008
MMA8,8,24,8,1.05062
MMA8,8,32,8,1.40083
MMA8,8,40,8,1.7623
MMA8,8,48,8,2.1033
MMA8,8,56,8,2.4535
MMA8,8,8,10,0.485376
MMA8,8,16,10,0.925696
MMA8,8,24,10,1.40902
MMA8,8,32,10,1.84934
MMA8,8,40,10,2.34189
MMA8,8,48,10,2.82624
MMA8,8,8,12,0.52224
MMA8,8,16,12,1.05882
MMA8,8,24,12,1.57901
MMA8,8,32,12,2.08896
MMA8,8,40,12,2.63168
MMA8,8,8,14,0.627712
MMA8,8,16,14,1.27386
MMA8,8,24,14,1.92
MMA8,8,32,14,2.56819
MMA8,8,8,16,0.71168
MMA8,8,16,16,1.41722
MMA8,8,24,16,2.12685
MMA8,8,8,18,0.863232
MMA8,8,16,18,1.67117
MMA8,8,24,18,2.47603
MMA8,8,8,20,0.945152
MMA8,8,16,20,1.7705
MMA8,8,24,20,2.65626
MMA8,8,8,22,1.01171
MMA8,8,16,22,1.99475
MMA8,8,8,24,1.0496
MMA8,8,16,24,2.09101
MMA8,8,8,26,1.19706
MMA8,8,16,26,2.36544
MMA8,8,8,28,1.22778
MMA8,8,16,28,2.48115
MMA8,8,8,30,1.37728
MMA8,8,16,30,2.71258
MMA8,8,8,32,1.4039
cuFFTDx,64,1,16,2.56307
MMA64,64,1,1,2.34906
MMA64,64,2,1,2.42893
MMA64,64,4,1,2.62963
MMA64,64,6,1,4.03354
MMA64,64,8,1,3.21331
MMA64,64,10,1,3.99053
MMA64,64,12,1,4.76979
MMA64,64,14,1,5.56237
MMA64,64,16,1,6.3447
MMA64,64,18,1,7.15059
MMA64,64,20,1,8.00154
MMA64,64,22,1,8.03635
MMA64,64,24,1,8.79514
MMA64,64,26,1,9.51501
MMA64,64,28,1,10.239
MMA64,64,30,1,9.67987
MMA64,64,32,1,10.2031
MMA64,64,34,1,10.8247
MMA64,64,36,1,11.4801
MMA64,64,38,1,12.1119
MMA64,64,40,1,12.3156
MMA64,64,42,1,12.9577
MMA64,64,44,1,13.5619
MMA64,64,46,1,14.1711
MMA64,64,48,1,14.8224
MMA64,64,50,1,15.4296
MMA64,64,52,1,16.0829
MMA64,64,54,1,16.7107
MMA64,64,56,1,17.3179
MMA64,64,58,1,17.9354
MMA64,64,60,1,18.562
MMA64,64,62,1,19.1642
MMA64,64,1,2,1.80122
MMA64,64,2,2,1.87494
MMA64,64,4,2,2.05107
MMA64,64,6,2,3.06586
MMA64,64,8,2,2.47501
MMA64,64,10,2,3.09453
MMA64,64,12,2,3.6905
MMA64,64,14,2,4.32333
MMA64,64,16,2,4.95206
MMA64,64,18,2,5.5552
MMA64,64,20,2,6.18086
MMA64,64,22,2,6.80755
MMA64,64,24,2,7.41888
