Blocks/SM, Size, Time Tensor, Time cuFFTDx
4,8,0.944128,1.05779
8,8,0.945152,1.05165
12,8,0.943104,1.05267
16,8,0.945152,1.05267
20,8,0.945152,1.05165
24,8,0.943104,1.05165
28,8,0.944128,1.05165
32,8,0.9472,1.0496
36,8,0.94208,1.6343
40,8,0.9472,1.62918
44,8,0.945152,1.63226
48,8,0.94208,1.63226
52,8,0.943104,1.63328
56,8,0.946176,1.63226
60,8,0.948224,1.63123
64,8,0.946176,1.63328
68,8,0.946176,2.03264
72,8,0.937984,2.03162
76,8,0.94208,2.03469
80,8,0.944128,2.03366
84,8,0.946176,2.03469
88,8,0.941056,2.03366
92,8,0.946176,2.03264
96,8,0.945152,2.03162
100,8,0.946176,2.48627
104,8,0.943104,2.48525
108,8,0.946176,2.37773
112,8,0.943104,2.40538
116,8,0.944128,2.48422
120,8,0.946176,2.47501
124,8,0.944128,2.46477
128,8,0.943104,2.37875
132,8,1.17043,3.23277
136,8,1.17555,3.23174
140,8,1.17862,3.23277
144,8,1.17043,3.23379
148,8,1.17862,3.23379
152,8,1.17658,3.23584
156,8,1.18272,3.23584
160,8,1.18477,3.23686
164,8,1.26669,3.66182
168,8,1.22675,3.61984
172,8,1.22675,3.67923
176,8,1.26771,3.66182
180,8,1.26874,3.64851
184,8,1.26464,3.65568
188,8,1.25645,3.60243
192,8,1.26362,3.64134
196,8,1.29229,4.19226
200,8,1.29946,4.25267
204,8,1.29024,4.2537
208,8,1.29434,4.21376
212,8,1.29536,4.2455
216,8,1.29536,4.24038
220,8,1.30048,4.23629
224,8,1.30662,4.2281
228,8,1.41619,4.82816
232,8,1.41312,4.83533
236,8,1.40288,4.95002
240,8,1.39878,4.88448
244,8,1.40288,4.93466
248,8,1.39981,4.81382
252,8,1.40493,4.86605
256,8,1.39264,4.86605
4,64,0.886784,1.54419
8,64,0.888832,1.54112
12,64,1.38138,1.53805
16,64,1.38342,1.53805
20,64,1.9712,2.54669
24,64,1.97018,2.54771
28,64,2.52621,2.54976
32,64,2.52826,2.54771
36,64,3.0976,3.57069
40,64,3.09248,3.62803
44,64,3.66182,3.61472
48,64,3.65056,3.59219
52,64,4.22298,4.5097
56,64,4.22093,4.52506
60,64,4.78413,4.50253
64,64,4.77389,4.5015
68,64,5.34323,5.72826
72,64,5.33811,5.71802
76,64,5.90541,5.71904
80,64,5.90438,5.74259
84,64,6.47168,6.76147
88,64,6.46554,6.77069
92,64,7.02976,6.76557
96,64,7.02976,6.76659
100,64,7.58374,7.84998
