Blocks/SM, Size, Time Tensor, Time cuFFTDx
4,8,0.566272,1.06906
8,8,0.571392,1.07008
12,8,0.566272,1.0537
16,8,0.540672,1.05062
20,8,0.556032,1.06086
24,8,0.557056,1.06291
28,8,0.555008,1.0537
32,8,0.560128,1.06394
36,8,0.559104,1.06291
40,8,0.559104,1.05984
44,8,0.557056,1.05882
48,8,0.553984,1.05267
52,8,0.54784,1.45306
56,8,0.555008,1.4551
60,8,0.551936,1.45613
64,8,0.557056,1.45613
68,8,0.556032,1.8944
72,8,0.555008,1.88928
76,8,0.556032,1.89542
80,8,0.536576,1.88928
84,8,0.55296,1.89952
88,8,0.555008,1.88723
92,8,0.550912,1.88006
96,8,0.555008,1.8903
100,8,0.555008,2.43507
104,8,0.555008,2.44736
108,8,0.54272,2.44224
112,8,0.550912,2.44736
116,8,0.541696,2.44634
120,8,0.549888,2.44838
124,8,0.545792,2.44326
128,8,0.548864,2.432
132,8,0.90624,2.70131
136,8,0.894976,2.71872
140,8,0.907264,2.86106
144,8,0.893952,2.86003
148,8,0.88576,2.7136
152,8,0.90112,2.71258
156,8,0.899072,2.70131
160,8,0.905216,2.71053
164,8,0.905216,3.42733
168,8,0.902144,3.43654
172,8,0.887808,3.44781
176,8,0.902144,3.44576
180,8,0.904192,3.44576
184,8,0.908288,3.43552
188,8,0.893952,3.43962
192,8,0.893952,3.44781
196,8,0.893952,3.92602
200,8,0.905216,3.92294
204,8,0.91136,3.93523
208,8,0.908288,3.96493
212,8,0.902144,3.97107
216,8,0.902144,3.93318
220,8,0.905216,3.93011
224,8,0.902144,3.94138
228,8,0.899072,4.67354
232,8,0.88064,4.64998
236,8,0.90624,4.77286
240,8,0.90624,4.77901
244,8,0.905216,4.77901
248,8,0.90624,4.83021
252,8,0.883712,4.81894
256,8,0.902144,4.75648
4,64,0.704512,1.59027
8,64,0.718848,1.5872
12,64,1.15814,1.5913
16,64,1.15814,1.5913
20,64,1.67936,2.29274
24,64,1.68755,2.28966
28,64,2.2272,2.29376
32,64,2.20877,2.29171
36,64,2.75046,3.48365
40,64,2.74739,3.48058
44,64,3.27066,3.48262
48,64,3.27885,3.48262
52,64,3.80211,4.44006
56,64,3.80211,4.43699
60,64,4.32742,4.44109
64,64,4.33152,4.43085
68,64,4.85581,5.48454
72,64,4.85478,5.50502
76,64,5.37702,5.50707
80,64,5.3801,5.5081
84,64,5.90438,6.64883
88,64,5.89107,6.64986
92,64,6.41946,6.63859
96,64,6.41024,6.65907
100,64,6.93555,7.63392
104,64,6.96115,7.63597
108,64,7.48646,7.64416
112,64,7.48544,7.64006
116,64,8.01075,8.73165
120,64,8.01178,8.71322
124,64,8.53914,8.7337
128,64,8.54118,8.73062
132,64,9.05318,9.74438
136,64,9.06138,9.73619
140,64,9.55392,9.73619
144,64,9.58157,9.7495
148,64,10.1192,10.7848
152,64,10.114,10.8175
156,64,10.6414,10.8155
160,64,10.6414,10.8216
164,64,11.1616,11.8804
168,64,11.1708,11.8835
172,64,11.7064,11.8927
176,64,11.6992,11.8835
180,64,12.2214,12.9229
184,64,12.2255,12.929
188,64,12.7498,12.9085
192,64,12.7457,12.9137
196,64,13.27,13.9735
200,64,13.2659,13.9633
204,64,13.7902,13.993
208,64,13.8025,13.996
212,64,14.3278,15.0405
216,64,14.3227,15.0518
220,64,14.8357,15.0405
224,64,14.8593,15.0477
228,64,15.3702,16.0891
232,64,15.3805,16.0993
236,64,15.914,16.1085
240,64,15.9068,16.086
244,64,16.4362,17.153
248,64,16.4332,17.1336
252,64,16.9513,17.1418
256,64,16.9615,17.1581
4,128,1.19808,1.88928
8,128,1.8176,1.87904
12,128,2.39616,3.15904
16,128,2.98598,3.16109
20,128,3.5625,4.01613
24,128,4.1513,4.0192
28,128,4.7319,5.1241
32,128,5.26746,5.12717
36,128,5.90234,6.26893
40,128,6.49114,6.27507
44,128,7.06253,7.60013
48,128,7.82029,7.87763
52,128,8.4695,9.10438
56,128,9.21805,9.21805
60,128,9.88877,10.3946
64,128,10.4919,10.4008
68,128,11.2333,11.7637
72,128,11.8753,11.7719
76,128,12.5143,13.0171
80,128,12.9495,12.844
84,128,13.4011,14.0452
88,128,13.6724,13.6049
92,128,13.7615,14.2746
96,128,14.3329,14.2756
100,128,14.9023,14.7108
104,128,14.7763,14.7087
108,128,15.3211,15.8065
112,128,15.8607,15.7952
116,128,16.3983,16.897
120,128,16.5366,16.3748
124,128,16.9462,17.3844
128,128,17.0998,17.1203
132,128,17.6179,18.0951
136,128,18.1207,18.1238
140,128,18.6491,19.1334
144,128,19.1734,19.1754
148,128,19.6884,20.139
152,128,20.1841,20.2148
156,128,20.7043,21.1835
